job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,CORN,35,72,63,URGENT,1.75,1,WET,300,326,1.4058,EARLY,0.6792117930204573
J0002,SOY,35,84,80,URGENT,1.75,1,WET,300,350,1.4058,EARLY,0.9109807460890493
J0003,SOY,38,93,93,REGULAR,1.0,0,DRY,300,423,1.5263,EARLY,0.999
J0004,SOY,35,98,56,REGULAR,1.0,1,WET,300,420,1.4058,EARLY,0.999
J0005,SOY,35,106,66,REGULAR,1.0,1,WET,300,436,1.4058,EARLY,0.999
J0006,SORGHUM,30,108,79,CONTRACTED,1.25,1,NORMAL,300,424,1.205,EARLY,0.999
J0007,SOY,36,111,64,REGULAR,1.0,1,WET,300,449,1.446,EARLY,0.999
J0008,SOY,37,113,113,REGULAR,1.0,0,WET,300,458,1.4862,EARLY,0.999
J0009,SOY,36,160,160,REGULAR,1.0,0,NORMAL,300,503,1.446,EARLY,0.3669675090252707
J0010,SORGHUM,35,179,179,REGULAR,1.0,0,NORMAL,300,500,1.4058,EARLY,0.3379963898916968
J0011,SORGHUM,35,185,184,URGENT,1.75,1,NORMAL,300,444,1.4058,EARLY,0.3379963898916968
J0012,CORN,34,229,26,REGULAR,1.0,1,NORMAL,300,534,1.3657,EARLY,0.16095066185318893
J0013,SOY,41,276,161,REGULAR,1.0,1,NORMAL,300,567,1.6468,MID,0.3830625752105896
J0014,CORN,41,278,111,REGULAR,1.0,1,DRY,300,563,1.6468,MID,0.3895006016847171
J0015,SOY,39,304,84,REGULAR,1.0,1,WET,300,609,1.5665,MID,0.3540914560770157
J0016,SOY,39,320,320,URGENT,1.75,0,WET,300,606,1.5665,MID,0.2510830324909748
J0017,SOY,41,452,383,REGULAR,1.0,1,WET,300,790,1.6468,MID,0.16095066185318893
J0018,SOY,40,483,337,CONTRACTED,1.25,1,WET,300,774,1.6067,LATE,0.4892900120336944
J0019,CORN,39,491,491,REGULAR,1.0,0,NORMAL,300,806,1.5665,LATE,0.566546329723225
J0020,SOY,40,517,425,REGULAR,1.0,1,NORMAL,300,824,1.6067,LATE,0.7146209386281589
J0021,SORGHUM,32,519,519,REGULAR,1.0,0,NORMAL,300,822,1.2853,LATE,0.7210589651022864
J0022,SOY,37,532,532,REGULAR,1.0,0,NORMAL,300,852,1.4862,LATE,0.6792117930204573
J0023,SOY,37,533,533,REGULAR,1.0,0,WET,300,858,1.4862,LATE,0.669554753309266
J0024,CORN,34,562,421,REGULAR,1.0,1,WET,300,872,1.3657,LATE,0.29936823104693133
